,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
12657,커피어반,,음식,커피점/카페,서울특별시,동작구,노량진1동,37.512393864922,126.94265820292
12658,파머스빈,,음식,커피점/카페,서울특별시,금천구,가산동,37.4745326941752,126.889716193904
12659,골든커피로스터스,,음식,커피점/카페,서울특별시,송파구,방이2동,37.5164193902187,127.113187149575
12660,어스담,,음식,커피점/카페,서울특별시,동대문구,이문1동,37.5990427359276,127.058121111936
12661,데이오프,,음식,커피점/카페,서울특별시,광진구,자양4동,37.5359751840948,127.063373037454
12662,이디야커피,응암오거리점,음식,커피점/카페,서울특별시,은평구,응암3동,37.5908952199753,126.917113052516
12663,자유시간,,음식,커피점/카페,서울특별시,강남구,역삼1동,37.495046337479,127.037229475113
12664,스타벅스,,음식,커피점/카페,서울특별시,중구,회현동,37.5601964424547,126.982911122996
12665,모두락애경산업,,음식,커피점/카페,서울특별시,마포구,서교동,37.5577325259384,126.926477960195
12666,카페,하늘높이스터디,음식,커피점/카페,서울특별시,노원구,중계본동,37.6504980859283,127.075977431142
12667,디커피,,음식,커피점/카페,서울특별시,종로구,혜화동,37.5833227058598,126.998311694504
12668,빽다방명동중앙우체,,음식,커피점/카페,서울특별시,중구,명동,37.56242188892,126.981850842876
12669,스타벅스구로하이엔드점,구로하이엔드점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4816050678561,126.89346712375
12670,샤론화원,,음식,커피점/카페,서울특별시,양천구,신정2동,37.5162346189298,126.871814063368
12671,커피이즈,,음식,커피점/카페,서울특별시,송파구,거여1동,37.4972609004572,127.145939147724
12672,Galle,,음식,커피점/카페,서울특별시,강동구,상일2동,37.5513582588433,127.174770207328
12673,혼밥대왕,,음식,커피점/카페,서울특별시,강남구,논현2동,37.5102381267814,127.035020997635
12674,클래직,,음식,커피점/카페,서울특별시,중구,광희동,37.5641448454463,126.994697361169
12675,카페보니또,오금점,음식,커피점/카페,서울특별시,송파구,오금동,37.5037890408748,127.137868449379
12676,커피미업,,음식,커피점/카페,서울특별시,마포구,서교동,37.5502079708685,126.919467462763
12677,호야커피,,음식,커피점/카페,서울특별시,강동구,성내3동,37.52314256417,127.134002960744
12678,코히루,,음식,커피점/카페,서울특별시,송파구,송파1동,37.5104747993474,127.111108352223
12679,CAFEPAGE,,음식,커피점/카페,서울특별시,송파구,문정1동,37.4870878483866,127.125000006926
12680,책읽는카페,,음식,커피점/카페,서울특별시,중랑구,묵2동,37.6083316056227,127.07625016658
12681,보그너커피,,음식,커피점/카페,서울특별시,동대문구,전농1동,37.5783174934373,127.051215775519
12682,스타벅스,왕십리역점,음식,커피점/카페,서울특별시,성동구,왕십리도선동,37.5627419871963,127.033880102501
12683,카페,아에노원점,음식,커피점/카페,서울특별시,노원구,상계6.7동,37.6538638451031,127.061758253118
12684,소통과공감센터,,음식,커피점/카페,서울특별시,서초구,방배본동,37.4938613144404,126.983958406547
12685,파비욘드갤러리카페,,음식,커피점/카페,서울특별시,용산구,한강로동,37.5318460264478,126.972095050197
12686,티모커피,,음식,커피점/카페,서울특별시,용산구,이촌2동,37.5238644097017,126.958911654017
12687,브레쉬에비뉴,방학점,음식,커피점/카페,서울특별시,도봉구,방학3동,37.6620335860905,127.028049731125
12688,카페루바토,,음식,커피점/카페,서울특별시,노원구,공릉1동,37.6228543005715,127.077135340963
